etat,marque,année,boite vitesse,adresse,prix(FCFA),image_lien
Occasion,Renault,2017,Manuelle,"Fenêtre mermoz,Dakar",3200000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/be4619e66d50143e90c171baef8b973e/-/horizon-files-prod/ed/picture/qq4dq5z7/9461f8d715d3d7e7886b42d3bfddc4a6e165f3d4.jpg
Occasion,Jeep,2016,Automatique,"VDN,Dakar",9800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/41fec5b63efd32f3c162fde89d4dea69/-/horizon-files-prod/ed/picture/q448xn82/4ad1dc5f61fa80265e4f384830c544fde035d743.jpg
Venant,BMW,2014,Automatique,"Hlm,Dakar",9500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4da04818510ba920000ee97c93cfd631/-/horizon-files-prod/ed/picture/q444j2rz/e84efc3b3d2b5fde51c8c225807ba0e38a0ac1c4.jpg
Venant,Peugeot,2015,Manuelle,"VDN,Dakar",7500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fdaa17c07a19c9a1e8e2d470a767eec5/-/horizon-files-prod/ed/picture/qdee878r/2d57786d42399312f2135811a53a3f2835016116.jpg
Venant,Citroen,2014,Manuelle,"VDN,Dakar",6300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6987ee8570285b3f733895946ddcc672/-/horizon-files-prod/ed/picture/q0gg5m48/08014715532e07cf7155b35949edbcc5bf38cd1d.jpg
Venant,Kia,2015,Automatique,"Sacré-cœur,Dakar",9500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/12d7bdaac14df452762e474e3020143f/-/horizon-files-prod/ed/picture/qrzqz7jj/feb94d5249fb972b6ca3c9e5128098f4d4a2e10b.jpg
Occasion,Hyundai,2013,Automatique,"Cité Damel,Dakar",8000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/744057666dd122cd20df84f2b1e32b01/-/horizon-files-prod/ed/picture/qgqqk4xe/28465ca831f27ab9a9ce143189165a7b43320417.jpg
Venant,Renault,2015,Automatique,"Liberte 6,Dakar",7300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/78d1617f73602c0133009a734567e8f7/-/horizon-files-prod/ed/picture/qj4jj5g4/c2523622988a502e4002c85fb3f56ce64fc6fcbe.jpg
Venant,Hyundai,2017,Automatique,"Liberte 6,Dakar",14500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/705edcecf15328c19197d6cc3c37a4c9/-/horizon-files-prod/ed/picture/qzvvnmkv/fd00f75837162f0c9e87b3e88118af74ec4a4efb.jpg
Venant,Ford,2020,Automatique,"Liberte 6,Dakar",30000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ca3aaa0f09e070e599283c6e32bccfb4/-/horizon-files-prod/ed/picture/qq4qnpkz/375988d4dff8a24c531af7c4ffc65bb7f4873d98.jpg
Venant,BMW,2016,Automatique,"Liberte 6,Dakar",18500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a8b1a688a0731c31a3be233938d83c64/-/horizon-files-prod/ed/picture/q5646rx0/9d261868a159dbcc6e64a5c2ed33855a6106b146.jpg
Venant,Peugeot,2015,Manuelle,"Sacré-cœur,Dakar",9500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0d5ae81974dc3943c4a9f5f4c4921864/-/horizon-files-prod/ed/picture/qxj62de2/fe82880c35694404ba1dd77506dbe7d6c12608d2.jpg
Neuf,Kia,2014,Automatique,"Hlm grand-yoff,Dakar",5800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7b30191a903b4f495a0bef37f49789b7/-/horizon-files-prod/ed/picture/q444968r/c382e5e867b1b18044227270b7d268f9e99c4f8e.jpg
Neuf,Mercedes-Benz,2015,Automatique,"Sud foire,Dakar",16500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6cbef5ac4f1f4f1a6df15dcd5a7fbcbc/-/horizon-files-prod/ed/picture/qweeq2dg/a570fbdf2afffd675e664a92cb415fcfea197d7a.jpg
Occasion,BMW,2015,Automatique,"Liberte 6 extension,Dakar",14300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/402cc46c23a641df8107463aeeb32caf/-/horizon-files-prod/ed/picture/q0ggqwvj/f389f50e1246e8c1e68bc928721d515b0a56e1d9.jpg
Venant,Toyota,2018,Automatique,"Plateau,Dakar",29000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5744de1314ee6de94259826a8ba681c0/-/horizon-files-prod/ed/picture/q0gg94mx/1bb392b625639807e03f8957e54e34c6932f4367.jpg
Venant,Hyundai,2020,Automatique,"Liberte 6,Dakar",32000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/98ce8eb738be5578aa03418e0621e359/-/horizon-files-prod/ed/picture/qrz2dmej/5fb3aa1ddfa1b7acb8adf7125bb3f7ae7b348b92.jpg
